Sensor,Location,Value1,Value2,Value3,Reading_Time
Sensor,My Room,23.40,76.00,1,2023-01-27 21:35:34
Sensor,My Room,23.40,76.00,1,2023-01-27 21:35:40
Sensor,My Room,23.40,76.00,1,2023-01-27 21:35:46
Sensor,My Room,23.40,76.00,1,2023-01-27 21:35:52
Sensor,My Room,23.40,76.00,1,2023-01-27 21:35:59
Sensor,My Room,23.40,76.00,1,2023-01-27 21:36:05
Sensor,My Room,23.40,76.00,1,2023-01-27 21:36:11
Sensor,My Room,23.40,76.00,1,2023-01-27 21:36:17
Sensor,My Room,23.40,76.00,1,2023-01-27 21:36:23
Sensor,My Room,23.40,76.00,1,2023-01-27 21:36:30
Sensor,My Room,23.40,76.00,1,2023-01-27 21:36:36
Sensor,My Room,23.40,76.00,1,2023-01-27 21:36:42
Sensor,My Room,23.30,76.00,1,2023-01-27 21:36:48
Sensor,My Room,23.20,76.00,1,2023-01-27 21:36:55
Sensor,My Room,23.20,76.00,1,2023-01-27 21:37:01
Sensor,My Room,23.10,76.00,1,2023-01-27 21:37:07
Sensor,My Room,23.20,76.00,1,2023-01-27 21:37:14
Sensor,My Room,23.20,76.00,1,2023-01-27 21:37:20
Sensor,My Room,23.30,76.00,1,2023-01-27 21:37:26
Sensor,My Room,23.40,76.00,1,2023-01-27 21:37:32
Sensor,My Room,23.40,76.00,1,2023-01-27 21:37:38
Sensor,My Room,23.40,76.00,1,2023-01-27 21:37:45
Sensor,My Room,23.40,76.00,1,2023-01-27 21:37:51
Sensor,My Room,-11.80,166.00,1,2023-01-27 21:38:09
Sensor,My Room,23.30,76.00,1,2023-01-27 21:38:15
Sensor,My Room,23.20,76.00,1,2023-01-27 21:38:21
Sensor,My Room,23.20,76.00,1,2023-01-27 21:38:28
Sensor,My Room,23.20,76.00,1,2023-01-27 21:38:34
Sensor,My Room,23.10,76.00,1,2023-01-27 21:38:41
Sensor,My Room,23.10,76.00,1,2023-01-27 21:38:47
Sensor,My Room,23.10,76.00,1,2023-01-27 21:38:53
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:00
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:06
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:12
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:19
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:25
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:31
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:37
Sensor,My Room,23.00,76.00,1,2023-01-27 21:39:44
Sensor,My Room,23.10,76.00,1,2023-01-27 21:39:50
Sensor,My Room,23.40,77.00,1,2023-01-27 21:39:56
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:03
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:09
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:15
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:22
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:28
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:34
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:41
Sensor,My Room,23.40,77.00,1,2023-01-27 21:40:47
Sensor,My Room,23.40,76.00,1,2023-01-27 21:40:54
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:00
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:06
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:13
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:19
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:26
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:32
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:38
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:45
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:51
Sensor,My Room,23.40,76.00,1,2023-01-27 21:41:58
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:04
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:11
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:17
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:23
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:30
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:36
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:43
Sensor,My Room,23.40,76.00,1,2023-01-27 21:42:49
Sensor,My Room,23.40,77.00,1,2023-01-27 21:42:55
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:02
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:08
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:15
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:21
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:27
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:33
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:40
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:46
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:53
Sensor,My Room,23.40,77.00,1,2023-01-27 21:43:59
Sensor,My Room,23.40,77.00,1,2023-01-27 21:44:05
